label	i	c	o	span
gold	alvimopan	pre–alvimopan	Utilization of total parenteral nutrition	Utilization of total parenteral nutrition was higher in the pre–alvimopan group (38.8% pre–alvimopan 20.6% vs. alvimopan, p = 0.010).
x	alvimopan	pre – alvimopan	Utilization of total parenteral nutrition	Utilization of total parenteral nutrition was higher in the pre–alvimopan group (38.8% pre–alvimopan 20.6% vs. alvimopan, p = 0.010).
gold	alvimopan	control	length of stay (LOS)	Patients who received alvimopan experienced a shorter length of stay (LOS) versus those in who did not receive alvimopan (10.5 vs. 8.6 days, p = 0.005, 95% CI 0.6–3.3).
c	alvimopan	Alvimopan	length of stay ( LOS )	Patients who received alvimopan experienced a shorter length of stay (LOS) versus those in who did not receive alvimopan (10.5 vs. 8.6 days, p = 0.005, 95% CI 0.6–3.3).
gold	alvimopan	control	Costs	Costs were significantly lower in the alvimopan group than the control groups (2012 USD 32,443 vs. 40,604 p <0.001).
c	alvimopan	alvimopan Alvimopan	Costs	Costs were significantly lower in the alvimopan group than the control groups (2012 USD 32,443 vs. 40,604 p <0.001).
gold	alvimopan	pre–alvimopan	disposition of patients from the OR to the intensive care unit	There was increased disposition of patients from the OR to the intensive care unit in the alvimopan group (44% vs. 66%, p = 0.048).
c	alvimopan	alvimopan Alvimopan	disposition of patients from the OR to the intensive care unit	There was increased disposition of patients from the OR to the intensive care unit in the alvimopan group (44% vs. 66%, p = 0.048).
gold	alvimopan	pre–alvimopan	use of robotic technique	Additionally, use of robotic technique increased markedly in the alvimopan group (8% vs. 25%, p = 0.030).
c	alvimopan	alvimopan Alvimopan	use of robotic technique	Additionally, use of robotic technique increased markedly in the alvimopan group (8% vs. 25%, p = 0.030).
gold	alvimopan	pre–alvimopan	Time to regular diet	Time to regular diet was significantly longer in the pre–alvimopan cohort at 7.1 days compared to 4.8 days in the treatment group (p = 0.020)
c	alvimopan	Alvimopan	Time to regular diet	Time to regular diet was significantly longer in the pre–alvimopan cohort at 7.1 days compared to 4.8 days in the treatment group (p = 0.020).
gold	Ephedrine	Control (nothing)	Heart rate	No significant change in PR was detected in normal saline group (93.9 ± 18.3 vs. 93.8 ± 17.2 beats/min; P = 0.938) or the Ephedrine group (100.1 ± 20.9 vs. 97.6 ± 12.9; P = 0.341).
x	Ephedrine	normal saline	PR	No significant change in PR was detected in normal saline group (93.9 ± 18.3 vs. 93.8 ± 17.2 beats/min; P = 0.938) or the Ephedrine group (100.1 ± 20.9 vs. 97.6 ± 12.9; P = 0.341).
gold	Digestion-resistant maltodextrin	Placebo	Colonic transit time	The total CTT, left SCTT and rectosigmoidal SCTT were significantly decreased in the RMD group after intervention compared to baseline (p < 0.004, p < 0.008 and p < 0.006, respectively), while no decrease was found in the placebo group.
c	placebo	abdominal X - ray	total CTT , left SCTT and rectosigmoidal SCTT	The total CTT, left SCTT and rectosigmoidal SCTT were significantly decreased in the RMD group after intervention compared to baseline (p < 0.004, p < 0.008 and p < 0.006, respectively), while no decrease was found in the placebo group.
gold	Ivermectin	thiabendazole	Meet all criteria for "being cured"	Based on the primary endpoint (all criteria fulfilled), the subjects cured were 60/106 (56.6%) and 48/92 (52.2%) in ivermectin and thiabendazole arm, respectively (p = 0.53).
x	ivermectin	thiabendazole	cured	Based on the primary endpoint (all criteria fulfilled), the subjects cured were 60/106 (56.6%) and 48/92 (52.2%) in ivermectin and thiabendazole arm, respectively (p = 0.53).
gold	Ivermectin	Thiabendazole	Side effects (grade 2)	Only 5/115 (4.3%) patients in the ivermectin arm presented effects of grade 2 (requiring medication), while in thiabendazole arm 43/108 patients (39.8) presented effects of grade 2 (p = 0.00).
o	ivermectin	thiabendazole	Side effects	Only 5/115 (4.3%) patients in the ivermectin arm presented effects of grade 2 (requiring medication), while in thiabendazole arm 43/108 patients (39.8) presented effects of grade 2 (p = 0.00).
gold	600,000 IU of Intramuscular vitamin D3	placebo for 2 doses	number of zones involved	Interpretation of chest radiographs at 12 weeks showed that the mean number of zones involved in the vitamin D arm were 1.35 v/s 1.82 zones in the placebo arm (p 0.004) (95% CI 0.15, 0.79).
x	placebo	vitamin D	mean number of zones involved	Interpretation of chest radiographs at 12 weeks showed that the mean number of zones involved in the vitamin D arm were 1.35 v/s 1.82 zones in the placebo arm (p 0.004) (95% CI 0.15, 0.79).
gold	600,000 IU of Intramuscular vitamin D3	placebo for 2 doses	cavity size	106 (89.8%) patients in the vitamin D arm had 50% or more reduction in cavity size v/s 111 (94.8%) in the placebo arm (p 0.035).
x	placebo	vitamin D	cavity size	106 (89.8%) patients in the vitamin D arm had 50% or more reduction in cavity size v/s 111 (94.8%) in the placebo arm (p 0.035).
gold	Chlorproguanil-dapsone (CPD)	Sulphadoxine-pyrimethamine (SP) 	Hemoglobin levels at days 7, 14, and 28	No differences in mean Hb level were observed after treatment with CPD or SP.
c	CPD	CPD	mean Hb level	No differences in mean Hb level were observed after treatment with CPD or SP.
gold	Group F receiving preoperative flupirtine	Group C receiving identical-looking placebo	number of patients and dosage of esmolol	Again to ensure induced hypotension, dose of esmolol and the number of patients treated with it were significantly higher (P < 0.05) in Group C than F [Table 1].
c	esmolol	hypotensive anesthesia	number of patients treated	Again to ensure induced hypotension, dose of esmolol and the number of patients treated with it were significantly higher (P < 0.05) in Group C than F [Table 1].
gold	Group F receiving preoperative flupirtine	Group C receiving identical-looking placebo	number of patients and dosage of esmolol	Again to ensure induced hypotension, dose of esmolol and the number of patients treated with it were significantly higher (P < 0.05) in Group C than F [Table 1].
c	esmolol	magnesium sulfate	induced hypotension , dose of	Again to ensure induced hypotension, dose of esmolol and the number of patients treated with it were significantly higher (P < 0.05) in Group C than F [Table 1].
gold	Succinylcholine group	Cisatracurium group	developed fasciculation	97.5% of the patients who had received Succinylcholine developed fasciculation, while none of the patients in the Cisatraciruim arm showed similar problem (P < 0.001).
x	Cisatraciruim	Succinylcholine	fasciculation	97.5% of the patients who had received Succinylcholine developed fasciculation, while none of the patients in the Cisatraciruim arm showed similar problem (P < 0.001).
gold	Succinylcholine group	Cisatracurium group	Muscle ache and fasciculation	Muscle ache and fasciculation was experienced in 85% of the patients in Succinylcholine group and 27.5% of the Cisatracurium group (P = 0.002).
x	Cisatracurium	Succinylcholine	Muscle ache and fasciculation	Muscle ache and fasciculation was experienced in 85% of the patients in Succinylcholine group and 27.5% of the Cisatracurium group (P = 0.002).
gold	Succinylcholine group	Cisatracurium group	sore throat 2 hours post–operation	hese numbers decreased at 2 hours post–operation (42% in the Succinylcholine group and 17.5% in the Cisatracurium group) but the difference was still statistically significant (P = 0.027).
o	Cisatracurium	Succinylcholine	post operative sore throat	These numbers decreased at 2 hours post–operation (42% in the Succinylcholine group and 17.5% in the Cisatracurium group) but the difference was still statistically significant (P = 0.027).
gold	d-xylose	sucralose	plasma GLP-1 before consuming the meal	Plasma GLP-1 concentrations were higher after d-xylose than control only before the meal (P < 0.05) but were sustained postprandially when combined with sitagliptin (P < 0.05).
x	sitagliptin	d - xylose	Plasma GLP - 1 concentrations	Plasma GLP-1 concentrations were higher after d-xylose than control only before the meal (P < 0.05) but were sustained postprandially when combined with sitagliptin (P < 0.05).
gold	propofol induction guided by BIS	propofol induction guided by clinical signs	dosage of propofol required by males	On comparing the dosage of propofol in males among the groups there was a significantly lower dosage of propofol required in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
c	propofol	anesthesia	dosage	On comparing the dosage of propofol in males among the groups there was a significantly lower dosage of propofol required in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
gold	propofol induction guided by BIS	propofol induction guided by clinical signs	dosage of propofol required by males	On comparing the dosage of propofol among males of the two groups, a significantly lower dosage of propofol was observed in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
c	propofol	anesthesia	dosage	On comparing the dosage of propofol among males of the two groups, a significantly lower dosage of propofol was observed in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
gold	propofol induction guided by BIS	propofol induction guided by clinical signs	dosage of propofol required by males	On comparing the dosage of propofol among males of the two groups, a significantly lower dosage of propofol was observed in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
c	propofol	anesthesia	dosage of	On comparing the dosage of propofol among males of the two groups, a significantly lower dosage of propofol was observed in group B (2.06±0.45 mg/kg and 1.83±0.32 mg/kg, respectively, P=0.016).
gold	vitamin D 4000 IE/day	untreated (control)	infections after 3 months	After 3 months of vitamin D supplementation a statistically significant mean difference between the groups with regards to infections could be observed, with lower values in the vitamin D treated group; -26% (95% CI -41%–(-12%)) (Tables 2 and 3, Fig 2C).
x	vitamin D supplementation	vitamin D	infections	After 3 months of vitamin D supplementation a statistically significant mean difference between the groups with regards to infections could be observed, with lower values in the vitamin D treated group; -26% (95% CI -41%–(-12%)) (Tables 2 and 3, Fig 2C).
gold	10 mg rosuvastatin over 4 months with zinc (30 mg/d) and selenium (150 Î1⁄4g/d) supplementation.	10 mg rosuvastatin over 4 months	Triglycerides concentrations	Triglycerides concentrations dropped noticeably in both groups, though this pattern was significant only for the placebo group (P = 0.034); despite this, differences between the two groups were not significant (P = 0.76)
c	placebo	Zn / Se	Triglycerides concentrations	Triglycerides concentrations dropped noticeably in both groups, though this pattern was significant only for the placebo group (P = 0.034); despite this, differences between the two groups were not significant (P = 0.76).
gold	B. papyrifera (capsule 300 mg, twice a day)	placebo	California verbal learning test (CVLT), and symbol digit modality test (SDMT)	Although the number of patients who improved after receiving the drug in the treatment group was more than the placebo group in CVLT and SDMT, such a difference was not statistically significant (P = 0.2000 for SDMT, P = 0.1700 for CVLT); r
c	placebo	interferon therapy	number of patients who improved	Although the number of patients who improved after receiving the drug in the treatment group was more than the placebo group in CVLT and SDMT, such a difference was not statistically significant (P = 0.2000 for SDMT, P = 0.1700 for CVLT); regarding BVMT-R, our findings were statistically significant (P < 0.001).
gold	Olanzapine orodispersible tablet	Olanzapine conventional tablet	Patients with at least one adverse effect	The total number of patients with at least one AE while treated with ODT was 42 (16.8%) and with OCT 31 (12.5%) (P=0.31)
x	OCT	ODT	total number of patients with at least one AE	The total number of patients with at least one AE while treated with ODT was 42 (16.8%) and with OCT 31 (12.5%) (P=0.31) (Table III).
gold	Olanzapine orodispersible tablet	Olanzapine conventional tablet	Preference	A total of 175 patients answered a preference question: 106 (61%) preferred ODT and 48 (27%) preferred OCT (P<0.001 adjusted for treatment sequence); 21 (12%) expressed no preference.
o	OCT	ODT	Total preference	A total of 175 patients answered a preference question: 106 (61%) preferred ODT and 48 (27%) preferred OCT (P<0.001 adjusted for treatment sequence); 21 (12%) expressed no preference.
gold	chemoimmunotherapy with bevacizumab (PCR-B)	chemoimmunotherapy without bevacizumab (PCR)	progression-free survival (PFS)	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06)
c	PCR - B	PCR - B	progression - free survival ( PFS )(	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06) and treatment-free survival (TFS)(p = 0.09).
gold	chemoimmunotherapy with bevacizumab (PCR-B)	chemoimmunotherapy without bevacizumab (PCR)	progression-free survival (PFS)	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06)
c	PCR - B	PCR - B	complete remission ( CR ) rate	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06) and treatment-free survival (TFS)(p = 0.09).
gold	chemoimmunotherapy with bevacizumab (PCR-B)	chemoimmunotherapy without bevacizumab (PCR)	progression-free survival (PFS)	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06)
c	PCR - B	PCR - B	treatment - free survival ( TFS )(	Patients treated with PCR-B had a trend for a higher complete remission (CR) rate (54.5% vs 31.3%; p = 0.08), longer progression-free survival (PFS)(p = 0.06) and treatment-free survival (TFS)(p = 0.09).
gold	chemoimmunotherapy with bevacizumab (PCR-B)	chemoimmunotherapy without bevacizumab (PCR)	treatment-free survival (TFS)	No differences in PFS and TFS by IGHV mutational status were observed with the addition of bevacizumab.
c	bevacizumab .	PCR in combination with bevacizumab ( PCR - B	PFS and TFS	No differences in PFS and TFS by IGHV mutational status were observed with the addition of bevacizumab.
gold	Calcitriol + Hind-limb suspension	Control 	Alkaline phosphatase	The levels of these biomarkers were lower in those who were submitted to tail suspension model and received calcitriol supplementation compared to those who were only submitted to tail suspension (60.14 ± 11.73 ng/mL vs. 58.29 ± 2.69 ng/mL; p = 0.696 for osteocalcin and 381.86 ± 99.16 mU/mL vs. 362.57 ± 27.41 ng/mL; p = 0.635 for alkaline phosphatase).
c	calcitriol supplementation	calcitriol supplementation	levels of these biomarkers	The levels of these biomarkers were lower in those who were submitted to tail suspension model and received calcitriol supplementation compared to those who were only submitted to tail suspension (60.14 ± 11.73 ng/mL vs. 58.29 ± 2.69 ng/mL; p = 0.696 for osteocalcin and 381.86 ± 99.16 mU/mL vs. 362.57 ± 27.41 ng/mL; p = 0.635 for alkaline phosphatase).
gold	Calcitriol + Hind-limb suspension	Control 	Alkaline phosphatase	and higher values regarding ALP compared to the control group (370.71 ± 84.02 mU/mL vs. 362.57 ± 27.41 mU/mL; p = 0.814)
c	calcitriol	no intervention , no tail suspension )	ALP	Those who received calcitriol and were submitted to hindlimb suspension during the study had lower values for OC and ALP at the end of the study compared to the only suspended group (53.43 ± 7.27 ng/mL vs. 60.14 ± 11.73 ng/mL; p = 0.227 for osteocalcin, 370.71 ± 84.02 mU/mL vs. 381.86 ± 99.16 mU/mL; p = 0.824 for alkaline phosphatase) and higher values regarding ALP compared to the control group (370.71 ± 84.02 mU/mL vs. 362.57 ± 27.41 mU/mL; p = 0.814) and lower values regarding OC compared to control group (53.43 ± 7.27 ng/mL vs. 58.29 ± 2.69 ng/mL; p = 0.138) though the differences were not significant.
gold	Calcitriol + Hind-limb suspension	Control 	Alkaline phosphatase	and higher values regarding ALP compared to the control group (370.71 ± 84.02 mU/mL vs. 362.57 ± 27.41 mU/mL; p = 0.814)
c	calcitriol	calcitriol	OC and ALP	Those who received calcitriol and were submitted to hindlimb suspension during the study had lower values for OC and ALP at the end of the study compared to the only suspended group (53.43 ± 7.27 ng/mL vs. 60.14 ± 11.73 ng/mL; p = 0.227 for osteocalcin, 370.71 ± 84.02 mU/mL vs. 381.86 ± 99.16 mU/mL; p = 0.824 for alkaline phosphatase) and higher values regarding ALP compared to the control group (370.71 ± 84.02 mU/mL vs. 362.57 ± 27.41 mU/mL; p = 0.814) and lower values regarding OC compared to control group (53.43 ± 7.27 ng/mL vs. 58.29 ± 2.69 ng/mL; p = 0.138) though the differences were not significant.
gold	Extracorporeal shock wave therapy	Control	Plantar fascia thickness	After treatment, the mean plantar fascia thickness was significantly decreased in the ESWT group (P < 0.001), while it was slightly increased in the placebo group (P = 0.03)
x	ESWT	placebo	mean plantar fascia thickness	After treatment, the mean plantar fascia thickness was significantly decreased in the ESWT group (P < 0.001), while it was slightly increased in the placebo group (P = 0.03), Figure 2.
gold	Extracorporeal shock wave therapy	Control	Plantar fascia thickness	Over the study period, plantar fascia thickness significantly reduced in the ESWT group (4.1 ± 1.3 to 3.6 ± 1.2 mm, P < 0.001), but slightly increased in the sham group (4.1 ± 0.8 to 4.5 ± 0.9 mm, P = 0.03).
c	ESWT	sham therapy	plantar fascia thickness	Over the study period, plantar fascia thickness significantly reduced in the ESWT group (4.1 ± 1.3 to 3.6 ± 1.2 mm, P < 0.001), but slightly increased in the sham group (4.1 ± 0.8 to 4.5 ± 0.9 mm, P = 0.03).
gold	Extracorporeal shock wave therapy	Control	Pain 	Both groups showed significant pain improvement over the course of the study (P < 0.001), though pain scores were significantly more reduced in the ESWT than the sham group (-4.2 ± 2.9 vs. -2.7 ± 1.8, P = 0.049).
c	ESWT	sham therapy	pain scores	Both groups showed significant pain improvement over the course of the study (P < 0.001), though pain scores were significantly more reduced in the ESWT than the sham group (-4.2 ± 2.9 vs. -2.7 ± 1.8, P = 0.049).
gold	Extracorporeal shock wave therapy	Control	Pain 	Both groups showed significant pain improvement over the course of the study (P < 0.001), though pain scores were significantly more reduced in the ESWT than the sham group (-4.2 ± 2.9 vs. -2.7 ± 1.8, P = 0.049).
c	ESWT	sham therapy	pain improvement	Both groups showed significant pain improvement over the course of the study (P < 0.001), though pain scores were significantly more reduced in the ESWT than the sham group (-4.2 ± 2.9 vs. -2.7 ± 1.8, P = 0.049).
gold	Extracorporeal shock wave therapy	Control	Pain 	after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
c	placebo	extracorporeal shock wave therapy ( ESWT )	pain scores	Table 2 Comparison of pain scores and plantar fascia thickness before and after the study within and between the two groups   Regarding the NRS pain scores, no significant difference were observed between the pain scores of the two groups at baseline (P = 0.59), but after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
gold	Extracorporeal shock wave therapy	Control	Pain 	after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
c	placebo	extracorporeal shock wave therapy ( ESWT )	NRS pain scores	Table 2 Comparison of pain scores and plantar fascia thickness before and after the study within and between the two groups   Regarding the NRS pain scores, no significant difference were observed between the pain scores of the two groups at baseline (P = 0.59), but after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
gold	Extracorporeal shock wave therapy	Control	Pain 	after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
c	placebo	ESWT	pain scores and plantar fascia thickness	Table 2 Comparison of pain scores and plantar fascia thickness before and after the study within and between the two groups   Regarding the NRS pain scores, no significant difference were observed between the pain scores of the two groups at baseline (P = 0.59), but after three months follow-up, pain scores was significantly lower in the ESWT group than in the placebo group (P = 0.04).
gold	coenzyme Q10 supplementation 	placebo	inflammatory markers	In other word, compared with the placebo group, inflammatory markers were significantly lower in the group of CoQ10.
c	placebo	CoQ10 supplement	inflammatory markers	In other word, compared with the placebo group, inflammatory markers were significantly lower in the group of CoQ10.
gold	coenzyme Q10 supplementation 	placebo	levels of serum CK	levels of serum CK in CoQ10 group was significantly increased following the short-term supplementation and running 3000 meters like-competitive (Table 2) (p=0.073).
c	CoQ10	CoQ10 supplements	levels of serum CK	In contrast, levels of serum CK in CoQ10 group was significantly increased following the short-term supplementation and running 3000 meters like-competitive (Table 2) (p=0.073).
gold	vitamin A group	placebo group	serum ferritin level	The findings showed that the reduction in serum ferritin level and the increments in haemoglobin, serum iron and transferrin saturation were found to be significant among children allocated to the vitamin A group compared to those allocated to the placebo group (p < 0.01).
x	vitamin A	placebo	reduction in serum ferritin level	The findings showed that the reduction in serum ferritin level and the increments in haemoglobin, serum iron and transferrin saturation were found to be significant among children allocated to the vitamin A group compared to those allocated to the placebo group (p < 0.01).
gold	vitamin A group	placebo group	serum ferritin level	The findings showed that the reduction in serum ferritin level and the increments in haemoglobin, serum iron and transferrin saturation were found to be significant among children allocated to the vitamin A group compared to those allocated to the placebo group (p < 0.01).
x	vitamin A	placebo	increments in haemoglobin , serum iron and transferrin saturation	The findings showed that the reduction in serum ferritin level and the increments in haemoglobin, serum iron and transferrin saturation were found to be significant among children allocated to the vitamin A group compared to those allocated to the placebo group (p < 0.01).
gold	Betamethasone valerate medicated plaster (Betesil®)	Aescin 10% cream	Improvement in ecchymosis/hematoma scores	using the ecchymosis/hematoma score, no significant difference between Betesil® and aescin 10% cream groups was observed.
x	Betesil ®	aescin	ecchymosis / hematoma score	However, using the ecchymosis/hematoma score, no significant difference between Betesil® and aescin 10% cream groups was observed.
gold	Betamethasone valerate medicated plaster (Betesil®)	Aescin 10% cream	Patients' satisfaction	Patients' satisfaction was significantly higher among subjects receiving Betesil®, if compared to patients receiving aescin 10% cream (P < 0.01).
x	Betesil ®,	aescin	Patients ' satisfaction	Patients' satisfaction was significantly higher among subjects receiving Betesil®, if compared to patients receiving aescin 10% cream (P < 0.01).
gold	Bremelanotide 1.25	Placebo	Sexual distress improvement 	For 1.25/1.75-mg pooled versus placebo, mean changes from baseline to study end were +0.7 versus +0.2 satisfying sexual events/month (p = 0.0180), +3.6 versus +1.9 female sexual function index total score (p = 0.0017), −11.1 versus −6.8 female sexual distress scale-desire/arousal/orgasm total score (p = 0.0014)
c	placebo	subcutaneous BMT	sexual function index	For 1.25/1.75-mg pooled versus placebo, mean changes from baseline to study end were +0.7 versus +0.2 satisfying sexual events/month (p = 0.0180), +3.6 versus +1.9 female sexual function index total score (p = 0.0017), −11.1 versus −6.8 female sexual distress scale-desire/arousal/orgasm total score (p = 0.0014).
gold	Bremelanotide 1.25	Placebo	Sexual distress improvement 	For 1.25/1.75-mg pooled versus placebo, mean changes from baseline to study end were +0.7 versus +0.2 satisfying sexual events/month (p = 0.0180), +3.6 versus +1.9 female sexual function index total score (p = 0.0017), −11.1 versus −6.8 female sexual distress scale-desire/arousal/orgasm total score (p = 0.0014)
c	placebo	subcutaneous BMT	sexual distress scale - desire / arousal / orgasm total score	For 1.25/1.75-mg pooled versus placebo, mean changes from baseline to study end were +0.7 versus +0.2 satisfying sexual events/month (p = 0.0180), +3.6 versus +1.9 female sexual function index total score (p = 0.0017), −11.1 versus −6.8 female sexual distress scale-desire/arousal/orgasm total score (p = 0.0014).
gold	Bremelanotide 1.75	Placebo	Satisfying sexual events/month	the mean (SD) change in number of SSEs from baseline to EOS was +0.7 (2.4) events/month for BMT 1.25/1.75 mg pooled, compared with +0.2 (2.3) for placebo (p = 0.0180).
c	placebo	subcutaneous BMT	mean ( SD ) change in number of SSEs	In the mITT population, the mean (SD) change in number of SSEs from baseline to EOS was +0.7 (2.4) events/month for BMT 1.25/1.75 mg pooled, compared with +0.2 (2.3) for placebo (p = 0.0180).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	Placebo	absenteeism and presenteeism	employed CZP patients reported an average of 1.0–1.8 and 3.0–3.9 fewer days of absenteeism and presenteeism, respectively, per month compared with 1.0 and 0.3 fewer days for placebo patients (p<0.05).
x	placebo	CZP	absenteeism and presenteeism	By week 24, employed CZP patients reported an average of 1.0–1.8 and 3.0–3.9 fewer days of absenteeism and presenteeism, respectively, per month compared with 1.0 and 0.3 fewer days for placebo patients (p<0.05).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	CZP patients reported an average of 3.0–3.5 household work days gained per month versus 1.0 day for placebo (p<0.05).
x	placebo	CZP	household work days	Within the home, by week 24, CZP patients reported an average of 3.0–3.5 household work days gained per month versus 1.0 day for placebo (p<0.05).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo),
x	placebo	CZP	PsA interference with productivity within the home	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo), 1.8 fewer days per month with reduced productivity (p<0.05; either CZP arm vs placebo), and PsA interference with work reduced by 0.8 in placebo patients (p<0.05; either CZP arm vs placebo) (figure 3).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo),
x	placebo	CZP	PsA interference with work	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo), 1.8 fewer days per month with reduced productivity (p<0.05; either CZP arm vs placebo), and PsA interference with work reduced by 0.8 in placebo patients (p<0.05; either CZP arm vs placebo) (figure 3).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo),
x	placebo	CZP	productivity	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo), 1.8 fewer days per month with reduced productivity (p<0.05; either CZP arm vs placebo), and PsA interference with work reduced by 0.8 in placebo patients (p<0.05; either CZP arm vs placebo) (figure 3).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo),
x	placebo	CZP	no household work	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo), 1.8 fewer days per month with reduced productivity (p<0.05; either CZP arm vs placebo), and PsA interference with work reduced by 0.8 in placebo patients (p<0.05; either CZP arm vs placebo) (figure 3).
gold	CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W)	placebo	household work days	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo),
x	placebo	CZP	household productivity	Further improvements were reported in CZP-treated patients up to week 24 with an average of 3.0–3.5 fewer days with no household work, 3.6–4.2 fewer days with reduced household productivity, and PsA interference with productivity within the home reduced by 2.3–3.0, compared with an average of 1.0 less day with no household work per month (p<0.05; either CZP arm vs placebo), 1.8 fewer days per month with reduced productivity (p<0.05; either CZP arm vs placebo), and PsA interference with work reduced by 0.8 in placebo patients (p<0.05; either CZP arm vs placebo) (figure 3).
gold	Vaginal estriol plus viable Lactobacillus acidophilus KS400 	Placebo	Improvement in Vaginal Maturation Index	The Controlled phase results for a change in VMI demonstrated superiority of the 0.03 mg estriol–lactobacilli combination to placebo (p < 0.001)
x	estriol – lactobacilli	placebo	VMI	The Controlled phase results for a change in VMI demonstrated superiority of the 0.03 mg estriol–lactobacilli combination to placebo (p < 0.001).
gold	Vilazodone	Placebo	Overall severity category shift from ≥ 4 to ≤ 2 	A significantly greater proportion of vilazodone-treated versus placebo-treated patients shifted from baseline ≥ 4 to end of study ≤ 2 on MADRS items of apparent sadness, reported sadness, inner tension, reduced sleep, and lassitude (OR range, 1.5–2.0, P < .05).
